¦C¼Æ,bd_id,oper,model,remark,trans_date,trans_time,
2688,	AHQ0442J4001A       ,	2200,	ICONN       ,	20211108-C-AHQ0442J4001A-2200-Criteria  ,	20211108,	160338,
2689,	BU048MA4005B        ,	2200,	UTC1000S    ,	BU048MA4005B-2200-Criteria              ,	20210107,	174943,
2690,	AHQ0442J4001A       ,	2200,	RAPID       ,	20211108-C-AHQ0442J4001A-2200-Criteria  ,	20211108,	160338,
2691,	ABW052AC1005A       ,	2200,	MAXUM-PLUS  ,	20211108-B-ABW052AC1005A-2200-Criteria  ,	20211108,	214945,
2692,	ABW052AC1005A       ,	2200,	MAXUM       ,	20211108-B-ABW052AC1005A-2200-Criteria  ,	20211108,	214945,
2693,	AAS008YQ9002A       ,	2200,	MAXUM       ,	AAS008YQ9002A-2200-Criteria             ,	20211108,	162341,
2694,	ABU048TP2007A       ,	2200,	UTC1000S    ,	20211108-A-ABU048TP2007A-2200-Criteria  ,	20211108,	162540,
2695,	ABU048TP2007A       ,	2200,	UTC2000     ,	20211108-A-ABU048TP2007A-2200-Criteria  ,	20211108,	162540,
2696,	OK048TV1005B        ,	2200,	UTC1000S    ,	OK048TV1005B-2200-Criteria              ,	20211108,	171353,
2697,	AAB008YM2034A       ,	2200,	MAXUM       ,	AAB008YM2034A-2200-Criteria             ,	20210107,	154343,
2698,	ABU008YQ2001A       ,	2200,	MAXUM-PLUS  ,	20211108-B-ABU008YQ2001A-2200-Criteria  ,	20211108,	202831,
