¦C¼Æ,pin_package,bd_id,product,da_out,da_act,wb_out,wb_act,cure_out,cure_act,
495,	TSOP1-48AM  ,	AAB048TW2002A       ,	048TWAB016               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
496,	VFBGA60B4L  ,	AAB060NR1007A       ,	060NRAB016               ,	41.30,	11.52,	29.82,	5.70,	0.00,	17.25,
497,	VFBGA63BFU  ,	AAB063NW3008A       ,	063NWAB006               ,	0.00,	0.00,	24.29,	5.94,	0.00,	0.00,
498,	TSOP2-66ME  ,	AAB066TN1003A       ,	066TNAB036               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
499,	WLCSP       ,	                    ,	000IABW072               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
500,	WLCSP-WAFER ,	                    ,	000IABW091               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
501,	WLCSP       ,	                    ,	000IABW107               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
502,	WLCSP-WAFER ,	                    ,	000IABW122               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
503,	WLCSP       ,	                    ,	000IABW123               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
504,	WLCSP-WAFER ,	                    ,	000IABW151               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
505,	QFN-72AF1   ,	ABW072AF1004B       ,	072AFBW022               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
506,	DFN-08YM2G  ,	AQW008YM2004A       ,	008YMQW006               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
507,	TSOP2-66CME ,	AQW066TS1001A       ,	066TSQW001               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
508,	MAT         ,	                    ,	0008WZI012               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
509,	FCQFN-08OK2D,	ANI008OK2001A       ,	008OKNI037               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
510,	FCQFN-08OK2D,	ANI008OK2001A       ,	008OKNI050               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
511,	FCQFN-08OK2D,	ANI008OK2001A       ,	008OKNI065               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
512,	FCQFN-08OK2D,	ANI008OK2001A       ,	008OKNI087               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
513,	FCDFN-08Y72D,	ANI008Y71001C       ,	008Y7NI003               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
514,	FCDFN-08YZ2A,	ANI008YZ1001D       ,	008YZNI017               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
515,	DFN-12Y12A  ,	ANI012Y11002C       ,	012Y1NI057               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
516,	FCQFN-12Y32D,	ANI012Y32001B       ,	012Y3NI122               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
517,	FCQFN-12Y32D,	ANI012Y32001B       ,	012Y3NI126               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
518,	FCQFN-12Y32D,	ANI012Y32002D       ,	012Y3NI129               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
519,	FCQFN-12Y32D,	ANI012Y32002D       ,	012Y3NI144               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
520,	FCQFN-12Y32D,	ANI012Y32002D       ,	012Y3NI145               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
521,	FCQFN-12Y32D,	ANI012Y32002D       ,	012Y3NI146               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
522,	FCQFN-12Y32D,	ANI012Y32002D       ,	012Y3NI162               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
523,	FCQFN-12Y32D,	ANI012Y32002D       ,	012Y3NI169               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
524,	FCQFN-14OA2D,	ANI014OA1001C       ,	014OANI052               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
525,	FCQFN-14OA2D,	ANI014OA1001C       ,	014OANI055               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
526,	FCQFN-14OA2D,	ANI014OA1001C       ,	014OANI060               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
527,	FCQFN-14OL2D,	ANI014OL1001C       ,	014OLNI029               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
528,	FCQFN-14OL2D,	ANI014OL1001C       ,	014OLNI031               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
529,	FCQFN-14OL2D,	ANI014OL1001C       ,	014OLNI042               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
530,	QFN-20YU2D  ,	ANI020YU1002B       ,	020YUNI092               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
531,	QFN-20YU2D  ,	ANI020YU1001M       ,	020YUNI101               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
532,	QFN-20YU2D  ,	ANI020YU1002B       ,	020YUNI125               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
533,	QFN-20YU2D  ,	ANI020YU1005C       ,	020YUNI156               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
534,	QFN-20YU2D  ,	ANI020YU1001M       ,	020YUNI162               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
535,	QFN-20YU2D  ,	ANI020YU1002B       ,	020YUNI205               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
536,	QFN-20YU2D  ,	ANI020YU1002B       ,	020YUNI250               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
537,	QFN-20YU2D  ,	ANI020YU1002B       ,	020YUNI252               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
538,	QFN-20YU2D  ,	ANI020YU1002B       ,	020YUNI274               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
539,	QFN-20YU2D  ,	ANI020YU1002B       ,	020YUNI296               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
540,	QFN-20YU2D  ,	ANI020YU1002B       ,	020YUNI306               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
541,	QFN-20YU2D  ,	ANI020YU1001M       ,	020YUNI318               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
542,	MAT         ,	                    ,	0008WHQ249               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
543,	FPSLGA22N6V ,	AHQ0225N1001A       ,	0225NHQ004               ,	0.00,	0.00,	5.53,	5.53,	0.00,	0.00,
544,	FPSTLGA44t6V,	AHQ0445T2007A       ,	0445THQ008               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
545,	WLCSP       ,	                    ,	000IACM173ENG            ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
546,	WLCSP       ,	                    ,	000IACM189ENG            ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
547,	WLCSP       ,	                    ,	000IACM208ENG            ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
548,	STDFN-08YQ2A,	AAB008YQ2019A       ,	008YQCME54ENG            ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
549,	QFN-36AB1   ,	ABW036AB1004A       ,	036ABCM014ENG            ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
550,	FPSTLGA44X4V,	AHQ0442J4001A       ,	0442JCM012ENG            ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
