pkg_type,process_id,version,detail_id,remark,
	T,	066TS070       ,	 A,	S22000102,	A0803CB0797(KNS)                        ,
	T,	048MA351       ,	 F,	S22000102,	A0803CB1097(KNS)                        ,
	T,	008Y6089       ,	 E,	S22000102,	A0803CB0926(KNS)                        ,
	T,	024MA084       ,	 C,	S22000102,	A0801CB0373                             ,
	T,	060MV007       ,	 F,	S22000102,	A0801CB0248                             ,
	T,	126CT002       ,	 G,	S22000102,	A0801CB0754                             ,
	T,	165ML036       ,	 D,	S22000102,	A0801CB0248                             ,
	T,	132X2343       ,	 A,	S22000102,	A0801CB1176(UTC)                        ,
	T,	132X2343       ,	 A,	S22000102,	A0803CB1295(KNS)                        ,
	T,	048MA369       ,	 A,	S22000102,	A0801CB0248(UTC)                        ,
	T,	048MA369       ,	 A,	S22000102,	A0803CB0248(KNS)                        ,
	T,	048MA370       ,	 A,	S22000102,	A0801CB0248(UTC)                        ,
	T,	048MA370       ,	 A,	S22000102,	A0803CB0248(KNS)                        ,
	T,	0415L014       ,	 B,	S22000102,	A0803CB1294(KNS)                        ,
	T,	0282J104       ,	 C,	S22000102,	A0803CB0991(KNS)                        ,
	T,	0442J028       ,	 A,	S22000102,	A0803CB1294(KNS)                        ,
	T,	0442J028       ,	 A,	S32000102,	A0803CB1294(KNS)                        ,
	T,	0442J027       ,	 B,	S22000102,	A0803CB1181(KNS)                        ,
	T,	0442J027       ,	 B,	S32000102,	A0803CB1181(KNS)                        ,
	T,	0442J031       ,	 B,	S22000102,	A0803CB1294(KNS)                        ,
	T,	0442J031       ,	 B,	S32000102,	A0803CB1294(KNS)                        ,
	T,	0225N004       ,	 D,	S22000102,	A0803CB1267(KNS)                        ,
	T,	0225S001       ,	 F,	S22000102,	A0803CB1028(KNS)                        ,
	T,	0242D007       ,	 E,	S22000102,	A0801CB0966 (UTC)                       ,
	T,	0242D007       ,	 E,	S22000102,	A0803CB0966 (KNS)                       ,
	T,	048TW524       ,	 E,	S22000102,	A0801CB1149(UTC)                        ,
	T,	048TW524       ,	 E,	S22000102,	A0803CB1149(KNS)                        ,
	T,	0086A140       ,	 E,	S22000102,	A0803CB1212(KNS)                        ,
	T,	169XN010       ,	 B,	S22000102,	A0803CB1105(KNS)                        ,
	T,	169XN010       ,	 B,	S32000102,	A0803CB1105(KNS)                        ,
	T,	169XN010       ,	 B,	S34000102,	A0803CB1105(KNS)                        ,
	T,	132X2249       ,	 B,	S22000102,	A0801CB1176(UTC)                        ,
	T,	132X2249       ,	 B,	S22000102,	A0803CB1295(KNS)                        ,
	T,	081X3001       ,	 B,	S22000102,	A0801CB0638(UTC)                        ,
	T,	081X3001       ,	 B,	S32000102,	A0801CB0638(UTC)                        ,
	T,	132X2290       ,	 C,	S22000102,	A0801CB1176(UTC)                        ,
	T,	132X2290       ,	 C,	S22000102,	A0803CB1295(KNS)                        ,
	T,	054TS053       ,	 G,	S22000102,	A0801CB0929(UTC)                        ,
	T,	054TS053       ,	 G,	S32000102,	A0801CB0929                             ,
	T,	008YD083       ,	 J,	S22000102,	A0803CB1038(KNS)                        ,
	T,	048TP213       ,	 D,	S22000102,	A0801CB1170(UTC)                        ,
	T,	056TH162       ,	 D,	S22000102,	A0801CB0493                             ,
	T,	056TH163       ,	 C,	S22000102,	A0801CB0493(UTC)                        ,
	T,	008YQ195       ,	 A,	S22000102,	A0803CB1174(KNS)                        ,
	T,	008YQ195       ,	 A,	S32000102,	A0803CB1174(KNS)                        ,
	T,	054NB025       ,	 M,	S22000102,	A0801CB0248                             ,
	T,	060NR020       ,	 G,	S22000102,	A0801CB0724 (UTC)                       ,
	T,	054TN104       ,	 J,	S22000102,	A0801CB0549(UTC)                        ,
	T,	054TN104       ,	 J,	S22000102,	A0803CB0549(KNS)                        ,
	T,	008YQ037       ,	 M,	S22000102,	A0803CB0883                             ,
	T,	048TW394       ,	 O,	S22000102,	A0801CB0850 (UTC)                       ,
	T,	048TW394       ,	 O,	S22000102,	A0803CB0850 (KNS)                       ,
	T,	054TN110       ,	 K,	S22000102,	A0801CB0891 (UTC)                       ,
	T,	054TN110       ,	 K,	S22000102,	A0803CB0808 (KNS)                       ,
	T,	008Y6094       ,	 D,	S22000102,	A0803CB0926(KNS)                        ,
	T,	024MA225       ,	 F,	S22000102,	A0801CB1057                             ,
	T,	060NR037       ,	 C,	S22000102,	A0801CB0745(UTC)                        ,
	T,	060NR037       ,	 C,	S22000102,	A0803CB0745(KNS)                        ,
	T,	066TN089       ,	 H,	S22000102,	A0801CB0902 (UTC)                       ,
	T,	066TN089       ,	 H,	S22000102,	A0803CB0902 (KNS)                       ,
	T,	066TN079       ,	 H,	S22000102,	A0801CB0788 (UTC)                       ,
	T,	066TN079       ,	 H,	S22000102,	A0803CB0788 (KNS)                       ,
	T,	024XJ078       ,	 G,	S22000102,	A0801CB1190(UTC)                        ,
	T,	024XJ078       ,	 G,	S32000102,	A0801CB1190(UTC)                        ,
	T,	024XJ078       ,	 G,	S34000102,	A0801CB1190(UTC)                        ,
	T,	024XJ078       ,	 G,	S36000102,	A0801CB1190(UTC)                        ,
	T,	096EL015       ,	 I,	S22000102,	A0801CB1092(UTC)                        ,
	T,	008YQ085       ,	 H,	S22000102,	A0803CB0859 (KNS)                       ,
	T,	084UC178       ,	 J,	S22000102,	A0801CB1250(UTC)                        ,
	T,	084UC178       ,	 J,	S22000102,	A0803CB1250(KNS)                        ,
	T,	008YM098       ,	 I,	S22000102,	A0803CB0832(KNS)                        ,
	T,	024MA200       ,	 E,	S22000102,	A0801CB1057(UTC)                        ,
	T,	008YM142       ,	 F,	S22000102,	A0803CB0918(KNS)                        ,
	T,	008YQ163       ,	 H,	S22000102,	A0803CB0859(KNS)                        ,
	T,	096EL021       ,	 J,	S22000102,	A0801CB1102(UTC)                        ,
	T,	008YM115       ,	 F,	S22000102,	A0803CB0918(KNS)                        ,
	T,	060EM003       ,	 I,	S22000102,	A0801CB1260(UTC)                        ,
	T,	008YQ050       ,	 N,	S22000102,	A0803CB0859                             ,
	T,	008YQ050       ,	 N,	S32000102,	A0803CB0859(KNS)                        ,
	T,	008YM124       ,	 I,	S22000102,	A0803CB0832(KNS)                        ,
	T,	008YB041       ,	 J,	S22000102,	A0803CB0783(KNS)                        ,
	T,	063NW055       ,	 D,	S22000102,	A0801CB1232(UTC)                        ,
	T,	063NW055       ,	 D,	S22000102,	A0803CB1255(KNS)                        ,
	T,	008YQ171       ,	 G,	S22000102,	A0803CB0859(KNS)                        ,
	T,	024XJ054       ,	 G,	S22000102,	A0801CB0871(UTC)                        ,
	T,	024XJ054       ,	 G,	S22000102,	A0803CB0871(KNS)                        ,
	T,	024XJ054       ,	 G,	S32000102,	A0801CB0871(UTC)                        ,
	T,	024XJ054       ,	 G,	S32000102,	A0803CB0871(KNS)                        ,
	T,	008YQ190       ,	 A,	S22000102,	A0803CB0859(KNS)                        ,
	T,	008YB026       ,	 I,	S22000102,	A0803CB0783 (KNS)                       ,
	T,	0083X005       ,	 F,	S22000102,	A0801CB1183(UTC)                        ,
	T,	063NW066       ,	 C,	S22000102,	A0801CB1232(UTC)                        ,
	T,	008YM097       ,	 H,	S22000102,	A0803CB0918(KNS)                        ,
	T,	024MA063       ,	 H,	S22000102,	A0801CB0373 (UTC)                       ,
	T,	024MA063       ,	 H,	S22000102,	A0803CB0373 (KNS)                       ,
	T,	008YM141       ,	 G,	S22000102,	A0803CB0832(KNS)                        ,
	T,	024XJ081       ,	 A,	S22000102,	A0801CB1057(UTC)                        ,
	T,	024MA061       ,	 F,	S22000102,	A0801CB0373 (UTC)                       ,
	T,	024MA061       ,	 F,	S22000102,	A0803CB0373 (KNS)                       ,
	T,	008YQ138       ,	 F,	S22000102,	A0803CB1228(KNS)                        ,
	T,	096EI008       ,	 N,	S22000102,	A0803CB1012 (KNS)                       ,
	T,	096EL013       ,	 K,	S22000102,	A0803CB1080(KNS)                        ,
	T,	096EL009       ,	 I,	S22000102,	A0803CB1080(KNS)                        ,
	T,	008YQ197       ,	 B,	S22000102,	A0803CB1359(KNS)                        ,
	T,	048MA324       ,	 E,	S22000102,	A0803CB1097(KNS)                        ,
	T,	048MA361       ,	 C,	S22000102,	A0803CB1097(KNS)                        ,
	T,	048MA328       ,	 F,	S22000102,	A0803CB1097(KNS)                        ,
	T,	084UC147       ,	 L,	S22000102,	A0803CB1017 (KNS)                       ,
	T,	048TP094       ,	 K,	S22000102,	A0801CB1000 (UTC)                       ,
	T,	048TP094       ,	 K,	S22000102,	A0803CB1000 (KNS)                       ,
