ENTITY,MODEL,STATUS,LOT#,OPER,PRODUCT,BOND ID,OUTPLAN,IN TIME,CUST,PIN_PKG,WIP
BB455,UTC1000S,RUNNING,P45CDAS01,2200,054TNCD021,ACD054TN1001A,21-11-12 20:41,21-11-12 08:16,ETRON,TSOP2-54ME,2880
BB456,UTC1000S,RUNNING,P45MSH915,2200,048TWMS067,AMS048TW1057A,21-11-12 17:03,21-11-12 11:04,MTI,TSOP1-48AM,2160
BB457,UTC1000S,RUNNING,P45ABKA07,2200,054TNAB029,AAB054TN1004A,21-11-12 16:56,21-11-12 07:06,WINBOND,TSOP2-54ME,2880
BB458,UTC1000S,RUNNING,P45ABGG06,2200,054TNAB041,AAB054TN1005A,21-11-12 15:04,21-11-12 04:46,WINBOND,TSOP2-54ME,2880
BB459,UTC1000S,RUNNING,P46MSC402,2200,078ENMS016,AMS078EN1002A,21-11-13 01:19,21-11-12 10:43,MTI,FBGA-78UEN,3581
BB460,UTC1000S,RUNNING,P45ABLE03,2200,063NWAB006,AAB063NW3008A,21-11-12 14:22,21-11-12 06:42,WINBOND,VFBGA63BFU,5963
BB461,UTC1000S,RUNNING,P43BUB808,2200,054MFBU004,BU054MF1002A,21-11-12 21:16,21-11-12 08:48,ICSI,MINIBGA54A4,3762
BB462,UTC1000S,RUNNING,P45ABAR05,2200,060NRAB016,AAB060NR1007A,21-11-12 21:14,21-11-12 06:32,WINBOND,VFBGA60B4L,5760
BB463,UTC1000S,RUNNING,P45CDBR02,2200,096EFCD001,ACD096EF2001B,21-11-12 16:30,21-11-11 21:59,ETRON,FBGA-96UEF,5000
BB465,UTC1000S,RUNNING,P45ABHJ01,2200,060EMAB003,AAB060EM2002A,21-11-12 21:26,21-11-11 23:00,WINBOND,FBGA60UEM2-1,6503
BB466,UTC1000S,RUNNING,P45MSH923,2200,048TWMS067,AMS048TW1057A,21-11-12 19:05,21-11-12 13:06,MTI,TSOP1-48AM,2160
BB467,UTC1000S,RUNNING,P42CDB301,2200,060CACD003,ACD060CD3002A,21-11-12 14:26,21-11-12 05:49,ETRON,FBGA-60MA,2369
BB468,UTC1000S,RUNNING,P45ABGI01,2200,054TNAB041,AAB054TN1005A,21-11-12 20:02,21-11-12 09:44,WINBOND,TSOP2-54ME,2880
BB469,UTC1000S,RUNNING,P46MSB402,2200,078U9MS017,AMS078C93001B,21-11-12 19:38,21-11-11 18:52,MTI,FBGA-78U9,6686
BB470,UTC1000S,WAIT-SETUP,P46MSAZ01,2200,078U9MS017,AMS078C93001B,21-11-12 12:05:08,21-11-12 10:57,MTI,FBGA-78U9,6635
BB471,UTC1000S,RUNNING,P45ABGG04,2200,054TNAB041,AAB054TN1005A,21-11-12 15:14,21-11-12 04:56,WINBOND,TSOP2-54ME,2880
BB472,UTC1000S,RUNNING,P45MSH922,2200,048TWMS067,AMS048TW1057A,21-11-12 16:31,21-11-12 10:33,MTI,TSOP1-48AM,2160
BB473,UTC1000S,RUNNING,P46MSB406,2200,078U9MS017,AMS078C93001B,21-11-13 06:22,21-11-12 05:28,MTI,FBGA-78U9,6720
BB474,UTC1000S,WAIT-REPAIR,P45MSH911,2200,048TWMS067,AMS048TW1057A,21-11-12 15:50:45,21-11-12 13:21,MTI,TSOP1-48AM,2160
BB475,UTC1000S,RUNNING,P45ABHE01,2200,060EMAB003,AAB060EM2002A,21-11-12 17:27,21-11-11 15:06,WINBOND,FBGA60UEM2-1,7640
BB476,UTC1000S,RUNNING,P45CDA303,2200,054TNCD011,ACD054TA1007A,21-11-12 04:47,21-11-11 19:22,ETRON,TSOP2-54ME,2880
BB477,UTC1000S,RUNNING,P45MSHG07,2200,048TWMS087,AMS048TW1046A,21-11-12 15:31,21-11-12 10:42,MTI,TSOP1-48AM,2160
BB478,UTC1000S,RUNNING,P45CDBR06,2200,096EFCD001,ACD096EF2001B,21-11-12 16:53,21-11-12 12:57,ETRON,FBGA-96UEF,1039
BB479,UTC1000S,RUNNING,P45ABHM02,2200,060EMAB003,AAB060EM2002A,21-11-13 06:14,21-11-12 11:37,WINBOND,FBGA60UEM2-1,5393
BB480,UTC1000S,RUNNING,P45BUCW08,2200,084UCBU006,ABU084CC2004B,21-11-13 02:10,21-11-12 10:19,ICSI,FBGA-84UC(2),5595
BB481,UTC1000S,RUNNING,P46MSC405,2200,078ENMS016,AMS078EN1002A,21-11-12 21:47,21-11-12 07:06,MTI,FBGA-78UEN,3600
BB482,UTC1000S,RUNNING,P46MSC204,2200,078ENMS016,AMS078EN1002A,21-11-13 01:20,21-11-12 10:48,MTI,FBGA-78UEN,3560
BB483,UTC1000S,PM,P45AWEC05,2200,024MAAW023,AAW024MA6013C,21-11-12 18:39,21-11-12 08:39,MXIC,MINIBGA24A3L,8573
BB484,UTC1000S,RUNNING,P45MSGE17,2200,048TWMS080,AMS048TW1065A,21-11-12 08:28,21-11-12 02:47,MTI,TSOP1-48AM,2160
BB485,UTC1000S,RUNNING,P45CDBT14,2200,066TNCD012,CD066TA1007A,21-11-12 13:40,21-11-12 06:34,ETRON,TSOP2-66ME,2369
BB486,UTC1000S,RUNNING,P45MSH903,2200,048TWMS067,AMS048TW1057A,21-11-12 15:48,21-11-11 20:47,MTI,TSOP1-48AM,2160
BB487,UTC1000S,RUNNING,P45ABHR01,2200,060EMAB003,AAB060EM2002A,21-11-13 09:49,21-11-12 12:37,WINBOND,FBGA60UEM2-1,6144
BB488,UTC1000S,RUNNING,P45ABGG13,2200,054TNAB041,AAB054TN1005A,21-11-12 09:55,21-11-12 07:12,WINBOND,TSOP2-54ME,741
BB489,UTC1000S,RUNNING,P45MSHG04,2200,048TWMS087,AMS048TW1046A,21-11-12 13:01,21-11-11 22:26,MTI,TSOP1-48AM,2160
BB490,UTC1000S,RUNNING,P45ABBI01,2200,054TNAB041,AAB054TN1005A,21-11-12 14:09,21-11-12 03:51,WINBOND,TSOP2-54ME,2880
BB496,UTC1000S,RUNNING,P45ABGI11,2200,054TNAB041,AAB054TN1005A,21-11-12 23:00,21-11-12 12:42,WINBOND,TSOP2-54ME,2880
BB497,UTC1000S,RUNNING,P46ABBX01,2200,063NWAB003,AAB063NW3001A,21-11-12 17:28,21-11-12 09:27,WINBOND,VFBGA63BFU,6000
BB498,UTC1000S,ENG,,,,AMS078C93001B,21-11-12 10:51,21-11-12 10:51,,,
BB499,UTC1000S,WAIT-SETUP,,,,AAB024MA0007A,,21-11-12 11:42,,,
BB500,UTC1000S,RUNNING,P45BUD305,2200,090NCBU014,ABU090NC8002B,21-11-12 16:18,21-11-12 08:46,ICSI,VFBGA90B4L,1658
BB501,UTC1000S,RUNNING,P45AWD803,2200,052XYAW004,AAW052XY1002A,21-11-12 23:46,21-11-11 16:32,MXIC,STBGA52D4L,5700
BB502,UTC1000S,RUNNING,P45ABAM08,2200,060NRAB016,AAB060NR1007A,21-11-12 13:43,21-11-12 03:28,WINBOND,VFBGA60B4L,4003
BB503,UTC1000S,RUNNING,P45BUD304,2200,090NCBU014,ABU090NC8002B,21-11-12 13:56,21-11-11 19:12,ICSI,VFBGA90B4L,4149
BB504,UTC1000S,IDLE,,,,AAB024MAA010A,,21-11-12 12:09,,,
BB505,UTC1000S,RUNNING,P45ABHN02,2200,060EMAB003,AAB060EM2002A,21-11-12 17:30,21-11-11 14:45,WINBOND,FBGA60UEM2-1,7760
BB506,UTC1000S,RUNNING,P46MSAZ06,2200,078U9MS017,AMS078C93001B,21-11-12 20:07,21-11-11 19:13,MTI,FBGA-78U9,6720
BB507,UTC1000S,IDLE,,,,AMS078EN1002A,,21-11-10 07:06,,,
BB508,UTC1000S,RUNNING,P45OKA101,2200,036RPOK001,AOK036RP1001A,21-11-12 13:09,21-11-11 17:28,LAPIS,MBGA36Q3L,8309
BB509,UTC1000S,RUNNING,P45ABLE02,2200,063NWAB006,AAB063NW3008A,21-11-12 15:38,21-11-12 07:54,WINBOND,VFBGA63BFU,6000
BB510,UTC1000S,IDLE,,,,AMS048TW1037A,,21-11-12 11:59,,,
BB511,UTC1000S,RUNNING,P45ABGF03,2200,054TNAB041,AAB054TN1005A,21-11-12 08:37,21-11-11 22:20,WINBOND,TSOP2-54ME,2880
BB512,UTC1000S,RUNNING,P45MSEQ24,2200,048TWMS046,AMS048TW1037A,21-11-12 13:13,21-11-12 09:19,MTI,TSOP1-48AM,1774
BB513,UTC1000S,RUNNING,P46MSAZ04,2200,078U9MS017,AMS078C93001B,21-11-12 16:03,21-11-11 15:30,MTI,FBGA-78U9,6627
BB514,UTC1000S,RUNNING,P46MSC208,2200,078ENMS016,AMS078EN1002A,21-11-13 01:19,21-11-12 10:38,MTI,FBGA-78UEN,3600
BB515,UTC1000S,RUNNING,P45AWEC07,2200,024MAAW023,AAW024MA6013C,21-11-12 19:10,21-11-12 12:45,MXIC,MINIBGA24A3L,8620
BB516,UTC1000S,RUNNING,P46MSC207,2200,078ENMS016,AMS078EN1002A,21-11-13 01:17,21-11-12 10:35,MTI,FBGA-78UEN,3600
BB517,UTC1000S,RUNNING,P45ABLL02,2200,096EFAB009,AAB096EF3001A,21-11-12 21:27,21-11-12 10:34,WINBOND,FBGA96UEF3-2,2440
BB518,UTC1000S,IN-REPAIR,,,,AAB096EF3001A,,21-11-12 07:37,,,
BB519,UTC1000S,RUNNING,P45OKA102,2200,036RPOK001,AOK036RP1001A,21-11-12 13:19,21-11-11 22:42,LAPIS,MBGA36Q3L,6161
BB520,UTC1000S,RUNNING,P45MSEQ20,2200,048TWMS046,AMS048TW1037A,21-11-12 15:00,21-11-12 10:16,MTI,TSOP1-48AM,2160
BB521,UTC1000S,RUNNING,P46MSAI06,2200,078ENMS009,AMS078EN1001A,21-11-12 06:07,21-11-11 06:27,MTI,FBGA-78UEN,3600
BB522,UTC1000S,RUNNING,P45BUCX01,2200,084UCBU003,ABU084CC2002B,21-11-12 09:57,21-11-11 11:10,ICSI,FBGA-84UC(2),5577
BB523,UTC1000S,RUNNING,P45CDBR05,2200,096EFCD001,ACD096EF2001B,21-11-13 04:00,21-11-12 09:29,ETRON,FBGA-96UEF,5000
BB524,UTC1000S,RUNNING,P45MSEQ23,2200,048TWMS046,AMS048TW1037A,21-11-12 12:27,21-11-12 07:44,MTI,TSOP1-48AM,2160
BB525,UTC1000S,RUNNING,P45ABGG01,2200,054TNAB041,AAB054TN1005A,21-11-12 15:25,21-11-12 05:07,WINBOND,TSOP2-54ME,2880
BB526,UTC1000S,RUNNING,P45BUCX03,2200,084UCBU003,ABU084CC2002B,21-11-12 10:00,21-11-11 11:07,ICSI,FBGA-84UC(2),5599
BB527,UTC1000S,IDLE,,,,AMS078EN1001A,,21-11-11 14:47,,,
BB528,UTC1000S,RUNNING,P45CDAR06,2200,054TNCD021,ACD054TN1001A,21-11-12 15:11,21-11-12 02:46,ETRON,TSOP2-54ME,2880
BB529,UTC1000S,RUNNING,P45CDAR01,2200,054TNCD021,ACD054TN1001A,21-11-12 14:26,21-11-12 02:01,ETRON,TSOP2-54ME,2880
BB530,UTC1000S,RUNNING,P45AWDB02,2200,052XYAW004,AAW052XY1002A,21-11-13 01:47,21-11-11 18:37,MXIC,STBGA52D4L,5686
BB531,UTC1000S,IDLE,,,,AMS078EN1001A,,21-11-11 17:51,,,
BB532,UTC1000S,RUNNING,P42CDB305,2200,060CACD003,ACD060CD3002A,21-11-12 22:12,21-11-12 13:28,ETRON,FBGA-60MA,2400
BB533,UTC1000S,RUNNING,P46MSC403,2200,078ENMS016,AMS078EN1002A,21-11-13 01:24,21-11-12 10:42,MTI,FBGA-78UEN,3600
BB534,UTC1000S,IDLE,,,,AMS078EN1001A,,21-11-11 16:51,,,
BB535,UTC1000S,RUNNING,P43BUB805,2200,054MFBU004,BU054MF1002A,21-11-12 06:51,21-11-11 17:52,ICSI,MINIBGA54A4,3915
BB536,UTC1000S,RUNNING,P45AWD805,2200,052XYAW004,AAW052XY1002A,21-11-13 04:07,21-11-11 20:34,MXIC,STBGA52D4L,5754
BB537,UTC1000S,RUNNING,P45MSD502,2200,048TWMS080,AMS048TW1065A,21-11-12 14:53,21-11-12 09:12,MTI,TSOP1-48AM,2160
BB538,UTC1000S,RUNNING,P43BUB809,2200,054MFBU004,BU054MF1002A,21-11-12 19:14,21-11-12 06:21,ICSI,MINIBGA54A4,3889
BB539,UTC1000S,IDLE,,,,AAB024MAA010A,,21-11-12 08:20,,,
BB540,UTC1000S,RUNNING,P45CDBT02,2200,066TNCD012,CD066TA1007A,21-11-12 08:00,21-11-11 23:23,ETRON,TSOP2-66ME,2880
BB541,UTC1000S,IDLE,,,,AMS078EN1002A,,21-11-10 06:15,,,
BB542,UTC1000S,RUNNING,P45CDBR04,2200,096EFCD001,ACD096EF2001B,21-11-12 20:56,21-11-12 02:25,ETRON,FBGA-96UEF,5000
BB543,UTC1000S,RUNNING,P45CDBT07,2200,066TNCD012,CD066TA1007A,21-11-12 14:19,21-11-12 05:42,ETRON,TSOP2-66ME,2880
BB544,UTC1000S,RUNNING,P45AWD806,2200,052XYAW004,AAW052XY1002A,21-11-12 21:18,21-11-11 13:44,MXIC,STBGA52D4L,5760
BB545,UTC1000S,RUNNING,P46MSAV05,2200,078U9MS017,AMS078C93001B,21-11-12 16:21,21-11-11 15:36,MTI,FBGA-78U9,6680
BB546,UTC1000S,SETUP,P45CDBT11,2200,066TNCD012,CD066TA1007A,21-11-12 13:55,21-11-12 13:25,ETRON,TSOP2-66ME,2880
