OPER,CUST,B/D#,MODEL,G.UPH
2200,PHISON,ANV0086A1055A,MAXUM-PLUS,57.8586
2200,PHISON,ANV0086A1032A,RAPID,97.5593
2200,PHISON,ANV0086A1032A,ICONN,0.0000
2200,PHISON,ANV0086A1032A,MAXUM,0.0000
2200,PHISON,ANV0086A1032A,MAXUM-BASE,0.0000
2200,PHISON,ANV0086A1032A,MAXUM-CU,0.0000
2200,PHISON,ANV0086A1032A,MAXUM-PLUS,0.0000
2200,PHISON,ANV0086A1032A,ICONN-PLUS,100.1652
2200,PHISON,ANV345XTB016A,,0.0000
2200,PHISON,ANV345XTB016A,,0.0000
2200,PHISON,ANV345XTB016A,,0.0000
2200,PHISON,ANV345XTB016A,,0.0000
2200,PHISON,ANV345XTB016A,,0.0000
2200,PHISON,ANV345XTB016A,,0.0000
2200,PHISON,ANV345XTB016A,,0.0000
2200,PHISON,ANV345XTB016A,,0.0000
2200,PHISON,ANV345XTB016A,,0.0000
2200,PHISON,ANV345XTB016A,,0.0000
2200,PHISON,ANV345XTB016A,,0.0000
2200,PHISON,ANV345XTB016A,,0.0000
2200,PHISON,ANV345XTC010A,,0.0000
2200,PHISON,ANV345XTC010A,,0.0000
2200,PHISON,ANV345XTC010A,,0.0000
2200,PHISON,ANV345XTC010A,,0.0000
2200,PHISON,ANV345XTC010A,,0.0000
2200,PHISON,ANV345XTC010A,,0.0000
2200,PHISON,ANV345XTC010A,,0.0000
2200,PHISON,ANV345XTC010A,,0.0000
2200,PHISON,ANV345XTC010A,,0.0000
2200,PHISON,ANV345XTC010A,,0.0000
2200,PHISON,ANV345XTC010A,,0.0000
2200,PHISON,ANV345XTC010A,,0.0000
2200,PHISON,ANV345XTC009B,,0.0000
2200,PHISON,ANV345XTC009B,,0.0000
2200,PHISON,ANV345XTC009B,,0.0000
2200,PHISON,ANV345XTC009B,,0.0000
2200,PHISON,ANV345XTC009B,,0.0000
2200,PHISON,ANV345XTC009B,,0.0000
2200,PHISON,ANV345XTC009B,,0.0000
2200,PHISON,ANV345XTC009B,,0.0000
2200,PHISON,ANV345XTC009B,,0.0000
2200,PHISON,ANV345XTC009B,,0.0000
2200,PHISON,ANV345XTC009B,,0.0000
2200,PHISON,ANV345XTC009B,,0.0000
2200,ENG,AOK016D53005A,UTC2000,163.4077
2200,ENG,AOK016D53005A,UTC3000,0.0000
2200,ENG,AOK016D53005A,UTC2000S,0.0000
2200,ENG,AOK016D53005A,UTC1000S,0.0000
2200,ENG,AOK016D53005A,UTC1000,0.0000
2200,ENG,AOK016D53005A,MAXUM-CU,0.0000
2200,ENG,AOK016D53005A,MAXUM,0.0000
2200,ENG,AOK016D53005A,ICONN,0.0000
