assy_lot,hist_seq,skip_oper,maintain_time,maintain_user,valid_flag,wlot_oper,wlot_lot_number,wlot_crt_dat_al_1,pin_package,wlot_prod,wlot_crt_dat_al_3,wlot_qty_1,wlot_qty_2,wlot_oper,wlot_crte_category,wlot_hold,prod_type,cust_code,package_id,po_no,wlot_mvin_perfmd,wlot_deleted,wlot_actl_mvin_dt,wlot_actl_mvin_tm,wlot_dt_last_trans,wlot_tm_last_trans,assy_issue,bd_id,assy_group,wlot_hold_category,da_type,tape_no,mark_type,test_entity,package_id1,wlot_owner,wb_date,sp_date,pack_date,ship_date,due_date,wafer_size,urgent_code,note_4,heat_block,heat_block_qty,pb_free,sps_status,ship_to,md_no,swr_id,swr_ver,wlot_hold_note,wlot_assy_lot,assy_lot,hist_seq,skip_oper,maintain_time,maintain_user,valid_flag,
	N36BWBU41  ,	2,	2470,	2020/9/11 下午 01:01:32,	WSM       ,	Y,	3720,	N36BWBU41  ,	AKM          ,	WLCSP          ,	000IABW072               ,	WSCE120A                                          ,	10000,	0,	3720,	A2,	N,	TSOP  ,	BW,	AK07377-XC2-F4{FT1}{FRM-PP}                       ,	5K2W19                   ,	N,	N,	0,	0,	20200911,	130132,	2020/9/7 上午 12:00:00,	                    ,	,	      ,	M,	                         ,	          ,	               ,	AK07377-XC2-F4{FT1}{FRM-PP}                       ,	SWR         ,	2020/9/8 上午 12:00:00,	2020/9/9 上午 12:00:00,	2020/9/10 上午 12:00:00,	2020/9/11 上午 12:00:00,	2020/9/11 上午 12:00:00,	8 ,	 E,	 B A A A                                                                        ,	                    ,	0,	 N,	     ,	BW29    ,	                         ,	20200907002.E  ,	1,	                                   ,	N36BWBU,	N36BWBU41  ,	2,	2470,	2020/9/11 下午 01:01:32,	WSM       ,	Y,
	N36BWBU45  ,	2,	2470,	2020/9/11 下午 08:52:49,	WSM       ,	Y,	3720,	N36BWBU45  ,	AKM          ,	WLCSP          ,	000IABW072               ,	WSCE120A                                          ,	10000,	0,	3720,	A2,	N,	TSOP  ,	BW,	AK07377-XC2-F4{FT1}{FRM-PP}                       ,	5K2W19                   ,	N,	N,	0,	0,	20200911,	205249,	2020/9/7 上午 12:00:00,	                    ,	,	      ,	M,	                         ,	          ,	               ,	AK07377-XC2-F4{FT1}{FRM-PP}                       ,	SWR         ,	2020/9/8 上午 12:00:00,	2020/9/9 上午 12:00:00,	2020/9/10 上午 12:00:00,	2020/9/11 上午 12:00:00,	2020/9/11 上午 12:00:00,	8 ,	 E,	 B A A A                                                                        ,	                    ,	0,	 N,	     ,	BW29    ,	                         ,	20200907002.E  ,	1,	                                   ,	N36BWBU,	N36BWBU45  ,	2,	2470,	2020/9/11 下午 08:52:49,	WSM       ,	Y,
	N36BWBU49  ,	2,	2470,	2020/9/12 上午 03:24:22,	WSM       ,	Y,	3720,	N36BWBU49  ,	AKM          ,	WLCSP          ,	000IABW072               ,	WSCE120A                                          ,	10000,	0,	3720,	A2,	N,	TSOP  ,	BW,	AK07377-XC2-F4{FT1}{FRM-PP}                       ,	5K2W19                   ,	N,	N,	0,	0,	20200912,	32422,	2020/9/7 上午 12:00:00,	                    ,	,	      ,	M,	                         ,	          ,	               ,	AK07377-XC2-F4{FT1}{FRM-PP}                       ,	SWR         ,	2020/9/8 上午 12:00:00,	2020/9/9 上午 12:00:00,	2020/9/10 上午 12:00:00,	2020/9/11 上午 12:00:00,	2020/9/11 上午 12:00:00,	8 ,	 E,	 B A A A                                                                        ,	                    ,	0,	 N,	     ,	BW29    ,	                         ,	20200907002.E  ,	1,	                                   ,	N36BWBU,	N36BWBU49  ,	2,	2470,	2020/9/12 上午 03:24:22,	WSM       ,	Y,
	N36BWBU53  ,	2,	2470,	2020/9/12 上午 09:58:19,	WSM       ,	Y,	3720,	N36BWBU53  ,	AKM          ,	WLCSP          ,	000IABW072               ,	WSCE120A                                          ,	10000,	0,	3720,	A2,	N,	TSOP  ,	BW,	AK07377-XC2-F4{FT1}{FRM-PP}                       ,	5K2W19                   ,	N,	N,	0,	0,	20200912,	95819,	2020/9/7 上午 12:00:00,	                    ,	,	      ,	M,	                         ,	          ,	               ,	AK07377-XC2-F4{FT1}{FRM-PP}                       ,	SWR         ,	2020/9/8 上午 12:00:00,	2020/9/9 上午 12:00:00,	2020/9/10 上午 12:00:00,	2020/9/11 上午 12:00:00,	2020/9/11 上午 12:00:00,	8 ,	 E,	 B A A A                                                                        ,	                    ,	0,	 N,	     ,	BW29    ,	                         ,	20200907002.E  ,	1,	                                   ,	N36BWBU,	N36BWBU53  ,	2,	2470,	2020/9/12 上午 09:58:19,	WSM       ,	Y,
	N43BWB725  ,	2,	2470,	2020/10/29 下午 09:52:23,	WSM       ,	Y,	3720,	N43BWB725  ,	AKM          ,	WLCSP          ,	000IABW067               ,	WSCD130A                                          ,	2961,	0,	3720,	A2,	Y,	TSOP  ,	BW,	AK07372CXC2-F3{FT1}{DSPP}                         ,	5K3Q13                   ,	N,	N,	0,	0,	20210515,	64721,	2020/10/20 上午 12:00:00,	                    ,	,	WCL   ,	M,	                         ,	          ,	               ,	AK07372CXC2-F3{FT1}{DSPP}                         ,	PROD        ,	2020/10/21 上午 12:00:00,	2020/10/22 上午 12:00:00,	2020/10/23 上午 12:00:00,	2020/10/24 上午 12:00:00,	2020/10/24 上午 12:00:00,	8 ,	,	 C B A A                                                                        ,	                    ,	0,	 N,	     ,	BW29    ,	                         ,	,	,	WCL                                ,	N43BWB7,	N43BWB725  ,	2,	2470,	2020/10/29 下午 09:52:23,	WSM       ,	Y,
	N81CMFX    ,	,	2025,	2020/6/19 下午 06:56:47,	S3784     ,	Y,	2068,	N81CMFX    ,	ENG          ,	WLCSP          ,	000IACM176ENG            ,	N81CMFX                                           ,	4,	2,	2068,	A2,	Y,	TSOP  ,	CM,	RAG039-W25Q64FWBYIG-ENG                           ,	                         ,	N,	N,	0,	0,	20200624,	225701,	2020/6/20 上午 12:00:00,	                    ,	,	EH    ,	,	                         ,	          ,	               ,	RAG039-W25Q64FWBYIG-ENG                           ,	ENG         ,	2020/6/21 上午 12:00:00,	2020/6/22 上午 12:00:00,	2020/6/23 上午 12:00:00,	2020/6/24 上午 12:00:00,	2020/6/24 上午 12:00:00,	12,	 E,	 B C A A A                                                                      ,	                    ,	0,	 N,	     ,	CM99    ,	                         ,	20200619012.E  ,	1,	待PE作業                           ,	N81CMFX,	N81CMFX    ,	,	2025,	2020/6/19 下午 06:56:47,	S3784     ,	Y,
	N81CMFX    ,	,	2027,	2020/6/19 下午 06:56:55,	SWR       ,	Y,	2068,	N81CMFX    ,	ENG          ,	WLCSP          ,	000IACM176ENG            ,	N81CMFX                                           ,	4,	2,	2068,	A2,	Y,	TSOP  ,	CM,	RAG039-W25Q64FWBYIG-ENG                           ,	                         ,	N,	N,	0,	0,	20200624,	225701,	2020/6/20 上午 12:00:00,	                    ,	,	EH    ,	,	                         ,	          ,	               ,	RAG039-W25Q64FWBYIG-ENG                           ,	ENG         ,	2020/6/21 上午 12:00:00,	2020/6/22 上午 12:00:00,	2020/6/23 上午 12:00:00,	2020/6/24 上午 12:00:00,	2020/6/24 上午 12:00:00,	12,	 E,	 B C A A A                                                                      ,	                    ,	0,	 N,	     ,	CM99    ,	                         ,	20200619012.E  ,	1,	待PE作業                           ,	N81CMFX,	N81CMFX    ,	,	2027,	2020/6/19 下午 06:56:55,	SWR       ,	Y,
	N82CMAZ    ,	,	2025,	2020/8/31 下午 06:02:28,	SWR       ,	Y,	2068,	N82CMAZ    ,	ENG          ,	WLCSP          ,	000IACM189ENG            ,	N82CMAZ                                           ,	1,	1,	2068,	A2,	Y,	TSOP  ,	CM,	KAG052-W25Q20EW-WLCSP-ENG                         ,	                         ,	N,	N,	0,	0,	20200913,	85303,	2020/9/1 上午 12:00:00,	                    ,	,	EH    ,	,	                         ,	          ,	               ,	KAG052-W25Q20EW-WLCSP-ENG                         ,	ENG         ,	2020/9/2 上午 12:00:00,	2020/9/3 上午 12:00:00,	2020/9/4 上午 12:00:00,	2020/9/5 上午 12:00:00,	2020/9/5 上午 12:00:00,	12,	 E,	 A A A A A                                                                      ,	                    ,	0,	 N,	     ,	CM99    ,	                         ,	20200831014.E  ,	1,	待PE作業                           ,	N82CMAZ,	N82CMAZ    ,	,	2025,	2020/8/31 下午 06:02:28,	SWR       ,	Y,
	N82CMAZ    ,	,	2027,	2020/8/31 下午 06:02:28,	SWR       ,	Y,	2068,	N82CMAZ    ,	ENG          ,	WLCSP          ,	000IACM189ENG            ,	N82CMAZ                                           ,	1,	1,	2068,	A2,	Y,	TSOP  ,	CM,	KAG052-W25Q20EW-WLCSP-ENG                         ,	                         ,	N,	N,	0,	0,	20200913,	85303,	2020/9/1 上午 12:00:00,	                    ,	,	EH    ,	,	                         ,	          ,	               ,	KAG052-W25Q20EW-WLCSP-ENG                         ,	ENG         ,	2020/9/2 上午 12:00:00,	2020/9/3 上午 12:00:00,	2020/9/4 上午 12:00:00,	2020/9/5 上午 12:00:00,	2020/9/5 上午 12:00:00,	12,	 E,	 A A A A A                                                                      ,	                    ,	0,	 N,	     ,	CM99    ,	                         ,	20200831014.E  ,	1,	待PE作業                           ,	N82CMAZ,	N82CMAZ    ,	,	2027,	2020/8/31 下午 06:02:28,	SWR       ,	Y,
	P31BWDE88  ,	2,	2470,	2021/8/1 上午 04:47:46,	WSM       ,	Y,	3720,	P31BWDE88  ,	AKM          ,	WLCSP          ,	000IABW112               ,	WSDS120A                                          ,	8000,	0,	3720,	A2,	Y,	TSOP  ,	BW,	AK09973AUC0-B4{FT1}{FRM-PP}                       ,	5K4321                   ,	N,	N,	0,	0,	20210801,	54141,	2021/7/29 上午 12:00:00,	                    ,	,	CM99  ,	M,	                         ,	          ,	               ,	AK09973AUC0-B4{FT1}{FRM-PP}                       ,	PROD        ,	2021/7/30 上午 12:00:00,	2021/7/31 上午 12:00:00,	2021/8/1 上午 12:00:00,	2021/8/2 上午 12:00:00,	2021/8/2 上午 12:00:00,	8 ,	,	 A C C A                                                                        ,	                    ,	0,	 N,	     ,	BW29    ,	                         ,	,	,	口袋破損                           ,	P31BWDE,	P31BWDE88  ,	2,	2470,	2021/8/1 上午 04:47:46,	WSM       ,	Y,
