route,wlot_lot_number,wlot_crt_dat_al_1,pin_package,wlot_prod,wlot_qty_1,wlot_qty_2,wlot_oper,wlot_hold,wlot_mvin_perfmd,bd_id,urgent_code,sub_lot,wb_location,automotive
BGA161,P45AWBF01,MXIC,MINIBGA24A4L,024MAAW051,17057,0,2450,N,N,AAW024MA6027C,,9,,
BGA161,P45AWBF08,MXIC,MINIBGA24A4L,024MAAW051,16648,0,2450,N,N,AAW024MA6027C,,9,,
BGA161,P44HDA203,CHIPLUS,MBGA48A2,048MAHD006,4645,0,2450,N,N,AHD048MA2001A,,5,,
BGA161,P45AWBF02,MXIC,MINIBGA24A4L,024MAAW051,16565,0,2450,N,N,AAW024MA6027C,,9,,
BGA161,P99CMEX01,ENG,MINIBGA24A4L,024MACM045ENG,432,0,2450,N,N,AAW024MA6022C,4E,1,,Y
BGA161,P45AWD702,MXIC,MINIBGA24A4L,024MAAW045,14530,0,2480,N,N,AAW024MA6022C,,5,,Y
BGA161,P45AWD701,MXIC,MINIBGA24A4L,024MAAW045,25399,0,2480,N,N,AAW024MA6022C,,5,,Y
BGA164,P42GAA202,FIDELIX,VFBGA54B4L,054NBGA028,8264,0,2405,N,N,AGA054NB1006A,,6,,
BGA164,P42GAA203,FIDELIX,VFBGA54B4L,054NBGA028,12475,0,2405,N,N,AGA054NB1006A,,6,,
BGA164,P42GAA301,FIDELIX,VFBGA54B4L,054NBGA028,12480,0,2405,N,N,AGA054NB1006A,,4,,
BGA164,P42GAA201,FIDELIX,VFBGA54B4L,054NBGA028,12442,0,2405,N,N,AGA054NB1006A,,6,,
BGA164,P42GAA302,FIDELIX,VFBGA54B4L,054NBGA028,11189,0,2405,N,N,AGA054NB1006A,,4,,
BGA164,P39GAA205,FIDELIX,VFBGA54B4L,054NBGA028,12203,0,2440,Y,N,AGA054NB1006A,,13,,
BGA164,P42GAA101,FIDELIX,VFBGA54B4L,054NBGA028,12270,0,2450,N,N,AGA054NB1006A,,14,,
BGA164,P42GAA107,FIDELIX,VFBGA54B4L,054NBGA028,12353,0,2450,N,N,AGA054NB1006A,,14,,
BGA164,P42GAA102,FIDELIX,VFBGA54B4L,054NBGA028,12189,0,2450,N,N,AGA054NB1006A,,14,,
BGA164,P42GAA108,FIDELIX,VFBGA54B4L,054NBGA028,12354,0,2450,N,N,AGA054NB1006A,,14,,
BGA164,P42GAA103,FIDELIX,VFBGA54B4L,054NBGA028,12227,0,2450,N,N,AGA054NB1006A,,14,,
BGA164,P42GAA110,FIDELIX,VFBGA54B4L,054NBGA028,12478,0,2450,N,N,AGA054NB1006A,,14,,
BGA164,P42GAA106,FIDELIX,VFBGA54B4L,054NBGA028,8440,0,2450,N,N,AGA054NB1006A,,14,,
BGA164,P39GAA202,FIDELIX,VFBGA54B4L,054NBGA028,24671,0,2480,N,N,AGA054NB1006A,,13,,
BGA169,P99CMGG01,ENG,VTLGA08J4U,008DRCM007ENG,576,0,2460,N,N,AAS008DR1004A,E,1,,
BGA184,P45GAA1,FIDELIX,VFBGA54B4L,054NBGA025,13,29614,2000,Y,N,AGA054NB1008A,,5,,
BGA185,P45YZA501,ZJP,FBGA-84UC(2),084UCYZ004,926,0,2090,N,N,AYZ084CC2004A,,1,BB703-1,
BGA185,P45YZA402,ZJP,FBGA-84UC(2),084UCYZ004,2432,0,2090,N,N,AYZ084CC2004A,,2,N2A08-4,
BGA185,P45YZA401,ZJP,FBGA-84UC(2),084UCYZ004,5535,0,2200,N,Y,AYZ084CC2004A,,2,,
BGA185,P80CMPG01,ENG,FBGA-84UC(2),084UCCM185ENG,1120,0,2320,N,N,AYZ084CC2001A,E,1,,
BGA185,P82CMGJ01,ENG,FBGA-96UEI,096EICM028ENG,1500,0,2320,Y,N,AYZ096EI1002A,E,1,,
BGA185,P82CMGK01,ENG,FBGA-96UEI,096EICM028ENG,1500,0,2320,Y,N,AYZ096EI1002A,E,1,,
BGA185,P80CMSV01,ENG,FBGA-96UEF,096EFCM070ENG,490,0,2460,N,N,AYZ096EF2003A,E,1,,
BGA186,P99CMKC01,ENG,VFBGA152BAL,152N3CME02ENG,144,0,2225,N,N,ALW152N31017A,E,1,,
BGA186,P99CMKB01,ENG,VFBGA152BAL,152N3CME02ENG,72,0,2225,N,N,ALW152N31017A,E,1,,
BGA186,P99CMFF01,ENG,VFBGA152BAL,152N3CME02ENG,72,0,2450,N,N,ALW152N31017A,E,1,,
BGA192,P46BUAK,ICSI,MINIBGA54J4U,054MFBU009,8,24062,2040,N,N,ABU054MF6001A,,6,,Y
BGA199,N80CMUH01,ENG,VFBGA152AEL,152N3CM008ENG,288,0,2460,N,N,ALW152N31016A,E,1,,
BGA202,P46CRA1,POWERCHIP,MBGA137J4U,137M8CR001,5,247,2003,N,N,ACR137M82001B,E,1,,
BGA202,P46CRA2,POWERCHIP,MBGA137J4U,137M8CR001,10,423,2003,N,N,ACR137M82001B,E,1,,
BGA202,P45VGCT01,ISSI-VG,MBGA24J4U,024MAVG018,6153,0,2150,N,N,ABU024MA6021A,,1,,
BGA202,P45VGCL01,ISSI-VG,MBGA24J4U,024MAVG018,4231,0,2150,N,N,ABU024MA6021A,,1,N2A07-1,Y
BGA206,P46LWA4,MTI-S,FBGA-78U9,078U9LW014,18866,0,2058,N,N,ALW078C93002A,,3,,
BGA206,P46LWA1,MTI-S,FBGA-78U9,078U9LW014,18168,0,2058,N,N,ALW078C93002A,,3,,
BGA206,P46LWA5,MTI-S,FBGA-78U9,078U9LW014,18846,0,2058,N,N,ALW078C93002A,,3,,
BGA206,P46LWA2,MTI-S,FBGA-78U9,078U9LW014,18838,0,2058,N,N,ALW078C93002A,,3,,
BGA206,P46LWA3,MTI-S,FBGA-78U9,078U9LW014,18561,0,2058,N,N,ALW078C93002A,,3,,
BGA206,P45LWA802,MTI-S,FBGA-78UEP,078EPLW008,888,0,2080,N,N,ALW078EP1001A,,2,,
BGA206,P45LWA801,MTI-S,FBGA-78UEP,078EPLW008,6000,0,2080,N,N,ALW078EP1001A,,2,,
BGA206,P45LWAA02,MTI-S,FBGA-78U9,078U9LW014,1719,0,2090,N,N,ALW078C93002A,,2,BBM02-1,
BGA206,P45LWAC02,MTI-S,FBGA-78U9,078U9LW014,6448,0,2090,N,N,ALW078C93002A,,3,BBR83-1,
BGA206,P45LWA503,MTI-S,FBGA-78U9,078U9LW014,1104,0,2090,N,N,ALW078C93002A,,3,BBM04-2,
BGA206,P45LWAC03,MTI-S,FBGA-78U9,078U9LW014,955,0,2090,N,N,ALW078C93002A,,3,BBB02-1,
BGA206,P45LWAG01,MTI-S,FBGA-78UEP,078EPLW008,2458,0,2090,N,N,ALW078EP1001A,,1,BBM05-2,
BGA206,P45LWA701,MTI-S,FBGA-78U9,078U9LW014,6691,0,2200,N,Y,ALW078C93002A,,3,,
BGA206,P45LWAD03,MTI-S,FBGA-78U9,078U9LW014,2053,0,2200,Y,Y,ALW078C93002A,,3,,
BGA206,P43LWC502,MTI-S,FBGA-78U9,078U9LW014,6650,0,2200,N,Y,ALW078C93002A,,3,,
BGA206,P45LWAB01,MTI-S,FBGA-78U9,078U9LW014,6600,0,2200,N,Y,ALW078C93002A,,2,,
BGA206,P45LWAE01,MTI-S,FBGA-78UEP,078EPLW008,5693,0,2200,N,Y,ALW078EP1001A,,1,,
BGA206,P45LWA703,MTI-S,FBGA-78U9,078U9LW014,5546,0,2200,N,Y,ALW078C93002A,,3,,
BGA206,P45LWAB02,MTI-S,FBGA-78U9,078U9LW014,6826,0,2200,N,Y,ALW078C93002A,,2,,
BGA206,P45LWAD01,MTI-S,FBGA-78U9,078U9LW014,6360,0,2200,N,Y,ALW078C93002A,,3,,
BGA206,P45LWAF01,MTI-S,FBGA-78UEP,078EPLW008,3663,0,2200,N,Y,ALW078EP1001A,,1,,
BGA206,P45LWA603,MTI-S,FBGA-78U9,078U9LW014,1938,0,2200,N,Y,ALW078C93002A,,3,,
BGA206,P45LWAA01,MTI-S,FBGA-78U9,078U9LW014,6600,0,2200,N,Y,ALW078C93002A,,2,,
BGA206,P45LWAC01,MTI-S,FBGA-78U9,078U9LW014,6480,0,2200,N,Y,ALW078C93002A,,3,,
BGA206,P45LWAD02,MTI-S,FBGA-78U9,078U9LW014,6399,0,2200,N,Y,ALW078C93002A,,3,,
BGA206,P45LWA301,MTI-S,FBGA-78U9,078U9LW014,6640,0,2250,N,N,ALW078C93002A,,3,,
BGA206,P45LWA702,MTI-S,FBGA-78U9,078U9LW014,6622,0,2250,N,N,ALW078C93002A,,3,,
BGA206,P45LWA901,MTI-S,FBGA-78UEP,078EPLW008,5926,0,2250,N,N,ALW078EP1001A,,2,,
BGA206,P45LWA401,MTI-S,FBGA-78U9,078U9LW014,6540,0,2250,N,N,ALW078C93002A,,3,,
BGA206,P45LWA902,MTI-S,FBGA-78UEP,078EPLW008,544,0,2250,N,N,ALW078EP1001A,,2,,
BGA206,P45LWA501,MTI-S,FBGA-78U9,078U9LW014,13056,0,2320,N,N,ALW078C93002A,,3,,
BGA206,P45LWA302,MTI-S,FBGA-78U9,078U9LW014,10064,0,2320,N,N,ALW078C93002A,,3,,
BGA206,P45LWA201,MTI-S,FBGA-78U9,078U9LW014,6520,0,2320,N,N,ALW078C93002A,,3,,
BGA206,P45LWA601,MTI-S,FBGA-78U9,078U9LW014,13150,0,2320,N,N,ALW078C93002A,,3,,
BGA206,P45LWA202,MTI-S,FBGA-78U9,078U9LW014,12337,0,2320,N,N,ALW078C93002A,,3,,
BGA206,P45LWA402,MTI-S,FBGA-78U9,078U9LW014,11219,0,2320,N,N,ALW078C93002A,,3,,
BGA206,P43LWC501,MTI-S,FBGA-78U9,078U9LW014,11444,0,2480,N,N,ALW078C93002A,,3,,
BGA209,P45OKA201,LAPIS,MBGA36Q3L,036RPOK001,8400,0,2090,N,N,AOK036RP1001A,4,2,BB508-1,
BGA209,P45OKA202,LAPIS,MBGA36Q3L,036RPOK001,5747,0,2090,N,N,AOK036RP1001A,4,2,BB519-1,
BGA209,P45OKA401,LAPIS,MBGA36Q3L,036RPOK001,6630,0,2150,N,N,AOK036RP1001A,,1,N2A08-5,
BGA209,P45OKA101,LAPIS,MBGA36Q3L,036RPOK001,8309,0,2200,N,Y,AOK036RP1001A,4,2,,
BGA209,P45OKA102,LAPIS,MBGA36Q3L,036RPOK001,6161,0,2200,N,Y,AOK036RP1001A,4,2,,
BGA209,P45OKA301,LAPIS,MBGA36Q3L,036RPOK001,8340,0,2250,N,N,AOK036RP1001A,4,2,,
BGA209,P45OKA302,LAPIS,MBGA36Q3L,036RPOK001,5628,0,2250,N,N,AOK036RP1001A,4,2,,
BGA222,P46BUB3,ICSI,FBGA-84UC(2),084UCBU004,11,12841,2000,Y,N,ABU084CC2001C,,3,,
BGA222,P46BUB2,ICSI,FBGA-84UC(2),084UCBU004,6,7035,2005,N,N,ABU084CC2001C,,2,,
BGA222,P46BUAQ,ICSI,FBGA-84UC(2),084UCBU004,13,27043,2040,N,Y,ABU084CC2001C,,5,,
BGA222,P46BUAQA,ICSI,FBGA-84UC(2),084UCBU004,10,0,2040,N,N,ABU084CC2001C,,5,,
BGA222,P46BUAL,ICSI,FBGA-84UC(2),084UCBU004,9302,8,2070,N,N,ABU084CC2001C,,2,,
BGA222,P45BUCX02,ICSI,FBGA-84UC(2),084UCBU003,5600,0,2090,N,N,ABU084CC2002B,,4,BB526-1,
BGA222,P45BUCX04,ICSI,FBGA-84UC(2),084UCBU003,627,0,2090,N,N,ABU084CC2002B,,4,BB522-1,
BGA222,P45BUCX03,ICSI,FBGA-84UC(2),084UCBU003,5599,0,2200,N,Y,ABU084CC2002B,,4,,
BGA222,P45BUCX01,ICSI,FBGA-84UC(2),084UCBU003,5577,0,2200,N,Y,ABU084CC2002B,,4,,
BGA23,PXXMSFJ,ChipMOS,VFBGA60K8L,060NRMS004,69,0,2070,N,N,AMS060NR1003A,,6,,
BGA23,PXXMSFY,ChipMOS,VFBGA90K8L,090NCMS008,40,0,2070,N,N,AMS090NC4003A,,3,,Y
BGA239,P46BUB7,ICSI,MINIBGA48J3U,048MABU068,2,17510,2010,N,N,ABU048MA7001A,,3,,
BGA239,P46BUB4,ICSI,MINIBGA48J3U,048MABU069,1,8710,2010,N,N,ABU048MA7005A,E,2,,
BGA239,P46BUB8,ICSI,MINIBGA48J3U,048MABU068,1,8649,2010,N,N,ABU048MA7001A,6,2,,Y
BGA239,P46BUB5,ICSI,MINIBGA48J3U,048MABU067,4,35124,2010,N,N,ABU048MA7003A,,6,,
BGA239,P46BUB9,ICSI,MINIBGA48J3U,048MABU068,3,26148,2010,N,N,ABU048MA7001A,,5,,Y
BGA239,P46BUB6,ICSI,MINIBGA48J3U,048MABU067,3,26335,2010,N,N,ABU048MA7003A,,5,,
BGA239,P46CDA4,ETRON,MBGA54A2L,054MFCD002,1,13624,2020,N,N,ACD054MF2001A,,3,,
BGA239,PXXCD29,ChipMOS,MBGA54A2L,054MFCD003,132,0,2070,N,N,ACD054MF2002A,,3,,Y
BGA239,PXXBU84,ChipMOS,MINIBGA48J3U,048MABU066,270,0,2070,N,N,ABU048MA7004A,,5,,
BGA239,P45BUD304,ICSI,VFBGA90B4L,090NCBU014,4149,0,2200,N,Y,ABU090NC8002B,,5,,Y
BGA239,P45BUD305,ICSI,VFBGA90B4L,090NCBU014,1658,0,2200,N,Y,ABU090NC8002B,,5,,Y
BGA239,P45BUD303,ICSI,VFBGA90B4L,090NCBU014,4134,0,2250,N,N,ABU090NC8002B,,5,,Y
BGA239,P45BUD301,ICSI,VFBGA90B4L,090NCBU014,4158,0,2320,N,N,ABU090NC8002B,,5,,Y
BGA239,P45BUD302,ICSI,VFBGA90B4L,090NCBU014,4159,0,2320,N,N,ABU090NC8002B,,5,,Y
BGA239,P45CDAN02,ETRON,MBGA54A2L,054MFCD001,4185,0,2330,N,N,ACD054MF2003A,,2,,Y
BGA239,P45BUC202,ICSI,VFBGA90B4L,090NCBU014,8237,0,2430,N,N,ABU090NC8002B,,9,,
BGA239,P45BUC301,ICSI,VFBGA90B4L,090NCBU016,8316,0,2430,N,N,ABU090NC8003B,,3,,Y
BGA239,P45BUC403,ICSI,VFBGA54B4,054NBBU006,1915,0,2430,N,N,ABU054NB2004C,,3,,
BGA239,P45BUC602,ICSI,VFBGA54B4,054NBBU006,3880,0,2430,N,N,ABU054NB2004C,,4,,
BGA239,P45BUCJ01,ICSI,VFBGA54B4,054NBBU006,3920,0,2430,N,N,ABU054NB2004C,,2,,Y
BGA239,P45BUC203,ICSI,VFBGA90B4L,090NCBU014,4103,0,2430,N,N,ABU090NC8002B,,9,,
BGA239,P45BUC303,ICSI,VFBGA90B4L,090NCBU016,3595,0,2430,N,N,ABU090NC8003B,,3,,Y
BGA239,P45BUC501,ICSI,VFBGA54B4,054NBBU006,3988,0,2430,N,N,ABU054NB2004C,,2,,
BGA239,P45BUC603,ICSI,VFBGA54B4,054NBBU006,3972,0,2430,N,N,ABU054NB2004C,,4,,
BGA239,P45BUCJ02,ICSI,VFBGA54B4,054NBBU006,2150,0,2430,N,N,ABU054NB2004C,,2,,Y
BGA239,P45BUC205,ICSI,VFBGA90B4L,090NCBU014,8240,0,2430,N,N,ABU090NC8002B,,9,,
BGA239,P45BUC401,ICSI,VFBGA54B4,054NBBU006,4000,0,2430,N,N,ABU054NB2004C,,3,,
BGA239,P45BUC502,ICSI,VFBGA54B4,054NBBU006,1915,0,2430,N,N,ABU054NB2004C,,2,,
BGA239,P45BUC604,ICSI,VFBGA54B4,054NBBU006,4079,0,2430,N,N,ABU054NB2004C,,4,,
BGA239,P45BUC201,ICSI,VFBGA90B4L,090NCBU014,8196,0,2430,N,N,ABU090NC8002B,,9,,
BGA239,P45BUC208,ICSI,VFBGA90B4L,090NCBU014,6480,0,2430,N,N,ABU090NC8002B,,9,,
BGA239,P45BUC402,ICSI,VFBGA54B4,054NBBU006,4000,0,2430,N,N,ABU054NB2004C,,3,,
BGA239,P45BUC601,ICSI,VFBGA54B4,054NBBU006,3880,0,2430,N,N,ABU054NB2004C,,4,,
BGA239,P45CDAP02,ETRON,MBGA54A2L,054MFCD001,6153,0,2435,N,N,ACD054MF2003A,,3,,Y
BGA239,P45CDAN01,ETRON,MBGA54A2L,054MFCD001,6196,0,2435,N,N,ACD054MF2003A,,2,,Y
BGA239,P45CDAL01,ETRON,MBGA54A2L,054MFCD001,12432,0,2435,N,N,ACD054MF2003A,,4,,Y
BGA239,P45CDAP01,ETRON,MBGA54A2L,054MFCD001,6150,0,2435,N,N,ACD054MF2003A,,3,,Y
BGA239,P45CDAM01,ETRON,MBGA54A2L,054MFCD001,10383,0,2440,N,N,ACD054MF2003A,,2,,Y
BGA239,P45CDAP03,ETRON,MBGA54A2L,054MFCD001,3362,0,2450,N,N,ACD054MF2003A,,3,,Y
BGA239,P45CDAL03,ETRON,MBGA54A2L,054MFCD001,8348,0,2450,N,N,ACD054MF2003A,,4,,Y
BGA239,P44BUB101,ICSI,MINIBGA60A3,060MVBU008,14486,0,2460,N,N,BU060MV1004A,,7,,
BGA239,P44BUAZ01,ICSI,MINIBGA60A3,060MVBU008,6232,0,2460,N,N,BU060MV1004A,,3,,
BGA248,P46MSFL,MTI,FBGA-96UEC,096ECMS003,3,4397,2000,Y,N,AMS096EC1002A,,1,,
BGA248,P45MSEY,MTI,FBGA-96UEC,096ECMS003,22,33211,2000,Y,N,AMS096EC1002A,,6,,
BGA248,P41MSD4,MTI,FBGA-96UEC,096ECMS003,7,10222,2000,Y,N,AMS096EC1002A,,2,,
BGA248,P46MSFY,MTI,FBGA-96UEC,096ECMS003,25,39466,2010,N,Y,AMS096EC1002A,,8,,
BGA248,P46MSFZ,MTI,FBGA-96UEC,096ECMS003,24,37703,2020,N,N,AMS096EC1002A,,7,,
BGA248,P46MSG4,MTI,FBGA-96UEC,096ECMS003,7,10025,2030,N,Y,AMS096EC1002A,,2,,
BGA248,P46MSFK,MTI,FBGA-96UEC,096ECMS003,3,4416,2040,N,N,AMS096EC1002A,,1,,
BGA248,P46MSFT,MTI,FBGA-96UEC,096ECMS003,13,36694,2040,N,Y,AMS096EC1002A,,7,,
BGA248,P46MSFV,MTI,FBGA-96UEC,096ECMS003,24,37713,2040,N,N,AMS096EC1002A,,7,,
BGA248,P46MSFTA,MTI,FBGA-96UEC,096ECMS003,11,0,2040,N,N,AMS096EC1002A,,7,,
BGA248,P46MSFW,MTI,FBGA-96UEC,096ECMS003,25,38052,2040,N,N,AMS096EC1002A,,7,,
BGA248,P46MSFU,MTI,FBGA-96UEC,096ECMS003,13,39862,2040,N,Y,AMS096EC1002A,,8,,
BGA248,P46MSFX,MTI,FBGA-96UEC,096ECMS003,13,37356,2040,N,Y,AMS096EC1002A,,7,,
BGA248,P46MSG1,MTI,FBGA-96UEC,096ECMS003,13,38036,2040,N,Y,AMS096EC1002A,,7,,
BGA248,P46MSFS,MTI,FBGA-96UEC,096ECMS003,25,39879,2040,N,N,AMS096EC1002A,,8,,
BGA248,P46MSFUA,MTI,FBGA-96UEC,096ECMS003,12,0,2040,N,Y,AMS096EC1002A,,8,,
BGA248,P46MSFXA,MTI,FBGA-96UEC,096ECMS003,11,0,2040,N,N,AMS096EC1002A,,7,,
BGA248,P46MSG1A,MTI,FBGA-96UEC,096ECMS003,11,0,2040,N,N,AMS096EC1002A,,7,,
BGA248,P46MSBU07,MTI,FBGA-96UEC,096ECMS003,4837,0,2070,N,Y,AMS096EC1002A,,7,,
