bd_id,cust,end_time,entity,lot_number,part_id,part_no,pin_pkg,prod_id,qty,start_time
AMS048TW1058A,MTI,0.000000,BB466,P13MSBK03,1091A07T41,A0801CB0616,TSOP1-48AM,048TWMS068,0,0.000000
AMS096EF2001A,MTI,100.000000,BB467,P15MSCN05,1091A06T21,A0803CB1265,FBGA-96UEF,096EFMS002,0,0.000000
AAW024MA6025A,MXIC,347.000000,BB468,P15AWFT03,1091A07T41,A0801CB0700,MINIBGA24A4L,024MAAW048,0,0.000000
ABU096EF2001A,ICSI,33.000000,BB469,P15BUCR09,1091A07T21,A0801CB1087,FBGA-96UEF,096EFBU001,0,0.000000
AMS048TW1058A,MTI,416.000000,BB470,P13MSBL13,1091A07T41,A0801CB0616,TSOP1-48AM,048TWMS068,0,0.000000
AAB096EL1002A,WINBOND,841.000000,BB471,P16ABA408,1091A07T21,A0801CB1092,FBGA96UEL(2),096ELAB015,0,0.000000
AYZ096EF2001A,ZJP,1155.000000,BB472,P15YZA308,1091A07T21,A0801CB1087,FBGA-96UEF,096EFYZ001,0,0.000000
AAB096EL1002A,WINBOND,841.000000,BB473,P16ABA703,1091A07T21,A0801CB1092,FBGA96UEL(2),096ELAB015,0,0.000000
ABU096EA1001A,ICSI,414.000000,BB474,P15BUCC02,1091A07C21,A0801CB1021,FBGA-96LEA,096EABU001,0,0.000000
AYZ084CC2002A,ZJP,495.000000,BB475,P10YZAQ09,1091A08T21,A0801CB1043,FBGA-84UC(2),084UCYZ002,0,0.000000
AAB096EL1003A,WINBOND,1167.000000,BB476,P16ABBP01,1091A07T21,A0801CB1102,FBGA96UEL(2),096ELAB016,0,0.000000
AAW048TP1024D,MXIC,2.000000,BB477,P15AWET14,1091A08T41,A0803CB0831 ,TSOP1-48/48M,048TPAW056,0,0.000000
AAB048TW2006A,WINBOND,191.000000,BB478,P14ABNM08,1091A07T21,A0803CB0850 ,TSOP1-48AM,048TWAB012,0,0.000000
ABU096EF2001A,ICSI,1161.000000,BB479,P15BUCR02,1091A07T21,A0801CB1087,FBGA-96UEF,096EFBU001,0,0.000000
AAB096EL1002A,WINBOND,506.000000,BB480,P16ABBJ03,1091A07T21,A0801CB1092,FBGA96UEL(2),096ELAB015,0,0.000000
AAB054TN1005A,WINBOND,396.000000,BB482,P15ABGR13,1091A07T21,A0803CB0808 ,TSOP2-54ME,054TNAB041,0,0.000000
AMS096EF2001A,MTI,0.000000,BB483,P16MSC501,1091A06T21,A0803CB1265,FBGA-96UEF,096EFMS002,0,0.000000
